,rt,trial_index,subject,form_assignment,passed_test,button_pressed,condition,stimNum,topic,speaker,form,response,correct,already_heard_by_speaker,numeric_response,Order
254,542,34,1z2jbr7rtu,conventional,yes,0,Request,3,box,S1,conventional,request,1,Yes,1,14
255,595,36,1z2jbr7rtu,conventional,yes,0,Non-Request,12,temperature,S1,conventional,request,0,No,1,15
256,555,38,1z2jbr7rtu,conventional,yes,0,Request,11,window,S1,conventional,request,1,No,1,16
257,1027,40,1z2jbr7rtu,conventional,yes,1,Non-Request,11,window,S1,conventional,literal,1,Yes,0,17
258,1309,42,1z2jbr7rtu,conventional,yes,1,Non-Request,8,piano,S1,conventional,literal,1,No,0,18
259,839,44,1z2jbr7rtu,conventional,yes,0,Request,12,temperature,S1,conventional,request,1,Yes,1,19
260,3448,46,1z2jbr7rtu,conventional,yes,0,Request,10,spanish,S1,conventional,request,1,No,1,20
261,826,48,1z2jbr7rtu,conventional,yes,0,Non-Request,10,spanish,S1,conventional,request,0,Yes,1,21
262,2360,50,1z2jbr7rtu,conventional,yes,0,Request,8,piano,S1,conventional,request,1,Yes,1,22
263,771,52,1z2jbr7rtu,conventional,yes,0,Request,4,door,S1,conventional,request,1,No,1,23
264,1644,54,1z2jbr7rtu,conventional,yes,1,Non-Request,4,door,S1,conventional,literal,1,Yes,0,24
265,1903,56,1z2jbr7rtu,conventional,yes,0,Non-Request,3,box,S5,conventional,request,0,No,1,25
266,1173,58,1z2jbr7rtu,conventional,yes,0,Request,3,box,S5,conventional,request,1,Yes,1,26
267,665,60,1z2jbr7rtu,conventional,yes,0,Non-Request,8,piano,S5,conventional,request,0,No,1,27
268,583,62,1z2jbr7rtu,conventional,yes,0,Request,11,window,S5,conventional,request,1,No,1,28
269,2482,64,1z2jbr7rtu,conventional,yes,0,Non-Request,10,spanish,S5,conventional,request,0,No,1,29
270,759,66,1z2jbr7rtu,conventional,yes,0,Non-Request,11,window,S5,conventional,request,0,Yes,1,30
271,595,68,1z2jbr7rtu,conventional,yes,0,Request,12,temperature,S5,conventional,request,1,No,1,31
272,735,70,1z2jbr7rtu,conventional,yes,0,Request,4,door,S5,conventional,request,1,No,1,32
273,862,72,1z2jbr7rtu,conventional,yes,0,Non-Request,12,temperature,S5,conventional,request,0,Yes,1,33
274,2219,74,1z2jbr7rtu,conventional,yes,0,Request,8,piano,S5,conventional,request,1,Yes,1,34
275,697,76,1z2jbr7rtu,conventional,yes,0,Non-Request,4,door,S5,conventional,request,0,Yes,1,35
276,2424,78,1z2jbr7rtu,conventional,yes,0,Request,10,spanish,S5,conventional,request,1,Yes,1,36
277,3426,80,1z2jbr7rtu,conventional,yes,1,Non-Request,4,door,S2,conventional,literal,1,No,0,37
278,718,82,1z2jbr7rtu,conventional,yes,0,Request,10,spanish,S2,conventional,request,1,No,1,38
279,1388,84,1z2jbr7rtu,conventional,yes,1,Request,8,piano,S2,conventional,literal,0,No,0,39
280,3261,86,1z2jbr7rtu,conventional,yes,1,Request,4,door,S2,conventional,literal,0,Yes,0,40
281,3206,88,1z2jbr7rtu,conventional,yes,1,Non-Request,3,box,S2,conventional,literal,1,No,0,41
282,774,90,1z2jbr7rtu,conventional,yes,1,Non-Request,12,temperature,S2,conventional,literal,1,No,0,42
283,567,92,1z2jbr7rtu,conventional,yes,1,Non-Request,10,spanish,S2,conventional,literal,1,Yes,0,43
284,6275,94,1z2jbr7rtu,conventional,yes,1,Non-Request,11,window,S2,conventional,literal,1,No,0,44
285,950,96,1z2jbr7rtu,conventional,yes,1,Request,12,temperature,S2,conventional,literal,0,Yes,0,45
286,727,98,1z2jbr7rtu,conventional,yes,1,Non-Request,8,piano,S2,conventional,literal,1,Yes,0,46
287,518,100,1z2jbr7rtu,conventional,yes,1,Request,11,window,S2,conventional,literal,0,Yes,0,47
288,961,102,1z2jbr7rtu,conventional,yes,1,Request,3,box,S2,conventional,literal,0,Yes,0,48
289,2596,104,1z2jbr7rtu,conventional,yes,0,Request,10,spanish,S4,conventional,request,1,No,1,49
290,4316,106,1z2jbr7rtu,conventional,yes,0,Non-Request,4,door,S4,conventional,request,0,No,1,50
291,1520,108,1z2jbr7rtu,conventional,yes,0,Request,4,door,S4,conventional,request,1,Yes,1,51
