,rt,trial_index,subject,form_assignment,passed_test,button_pressed,condition,stimNum,topic,speaker,form,response,correct,already_heard_by_speaker,numeric_response,Order
71,468,28,0b34ozgzqe,conventional,yes,0,Non-Request,3,box,S5,conventional,request,0,Yes,1,11
72,382,30,0b34ozgzqe,conventional,yes,0,Non-Request,10,spanish,S5,conventional,request,0,Yes,1,12
73,669,32,0b34ozgzqe,conventional,yes,0,Non-Request,8,piano,S4,conventional,request,0,No,1,13
74,2110,34,0b34ozgzqe,conventional,yes,0,Request,10,spanish,S4,conventional,request,1,No,1,14
75,2173,36,0b34ozgzqe,conventional,yes,1,Non-Request,3,box,S4,conventional,literal,1,No,0,15
76,2311,38,0b34ozgzqe,conventional,yes,0,Request,8,piano,S4,conventional,request,1,Yes,1,16
77,769,40,0b34ozgzqe,conventional,yes,0,Non-Request,11,window,S4,conventional,request,0,No,1,17
78,824,42,0b34ozgzqe,conventional,yes,1,Non-Request,10,spanish,S4,conventional,literal,1,Yes,0,18
79,815,44,0b34ozgzqe,conventional,yes,0,Request,12,temperature,S4,conventional,request,1,No,1,19
80,636,46,0b34ozgzqe,conventional,yes,0,Request,3,box,S4,conventional,request,1,Yes,1,20
81,668,48,0b34ozgzqe,conventional,yes,0,Request,4,door,S4,conventional,request,1,No,1,21
82,451,50,0b34ozgzqe,conventional,yes,0,Request,11,window,S4,conventional,request,1,Yes,1,22
83,483,52,0b34ozgzqe,conventional,yes,0,Non-Request,12,temperature,S4,conventional,request,0,Yes,1,23
84,5999,54,0b34ozgzqe,conventional,yes,0,Non-Request,4,door,S4,conventional,request,0,Yes,1,24
85,1707,56,0b34ozgzqe,conventional,yes,0,Non-Request,4,door,S2,conventional,request,0,No,1,25
86,4484,58,0b34ozgzqe,conventional,yes,0,Request,12,temperature,S2,conventional,request,1,No,1,26
87,237,60,0b34ozgzqe,conventional,yes,0,Request,4,door,S2,conventional,request,1,Yes,1,27
88,458,62,0b34ozgzqe,conventional,yes,0,Request,3,box,S2,conventional,request,1,No,1,28
89,647,64,0b34ozgzqe,conventional,yes,1,Request,8,piano,S2,conventional,literal,0,No,0,29
90,1884,66,0b34ozgzqe,conventional,yes,0,Request,11,window,S2,conventional,request,1,No,1,30
91,395,68,0b34ozgzqe,conventional,yes,0,Non-Request,12,temperature,S2,conventional,request,0,Yes,1,31
92,490,70,0b34ozgzqe,conventional,yes,0,Non-Request,10,spanish,S2,conventional,request,0,No,1,32
93,204,72,0b34ozgzqe,conventional,yes,1,Non-Request,8,piano,S2,conventional,literal,1,Yes,0,33
94,465,74,0b34ozgzqe,conventional,yes,1,Non-Request,3,box,S2,conventional,literal,1,Yes,0,34
95,2171,76,0b34ozgzqe,conventional,yes,1,Request,10,spanish,S2,conventional,literal,0,Yes,0,35
96,1658,78,0b34ozgzqe,conventional,yes,0,Non-Request,11,window,S2,conventional,request,0,Yes,1,36
97,369,80,0b34ozgzqe,conventional,yes,0,Non-Request,12,temperature,S1,conventional,request,0,No,1,37
98,526,82,0b34ozgzqe,conventional,yes,0,Request,12,temperature,S1,conventional,request,1,Yes,1,38
99,1008,84,0b34ozgzqe,conventional,yes,1,Non-Request,8,piano,S1,conventional,literal,1,No,0,39
100,665,86,0b34ozgzqe,conventional,yes,0,Request,4,door,S1,conventional,request,1,No,1,40
101,1305,88,0b34ozgzqe,conventional,yes,0,Request,8,piano,S1,conventional,request,1,Yes,1,41
102,1683,90,0b34ozgzqe,conventional,yes,0,Non-Request,11,window,S1,conventional,request,0,No,1,42
103,1310,92,0b34ozgzqe,conventional,yes,0,Request,11,window,S1,conventional,request,1,Yes,1,43
104,1236,94,0b34ozgzqe,conventional,yes,0,Request,10,spanish,S1,conventional,request,1,No,1,44
105,6824,96,0b34ozgzqe,conventional,yes,0,Request,3,box,S1,conventional,request,1,No,1,45
106,387,98,0b34ozgzqe,conventional,yes,0,Non-Request,3,box,S1,conventional,request,0,Yes,1,46
107,612,100,0b34ozgzqe,conventional,yes,0,Non-Request,10,spanish,S1,conventional,request,0,Yes,1,47
108,613,102,0b34ozgzqe,conventional,yes,0,Non-Request,4,door,S1,conventional,request,0,Yes,1,48
109,551,104,0b34ozgzqe,conventional,yes,0,Request,12,temperature,S3,conventional,request,1,No,1,49
110,746,106,0b34ozgzqe,conventional,yes,0,Request,4,door,S3,conventional,request,1,No,1,50
111,437,108,0b34ozgzqe,conventional,yes,0,Request,11,window,S3,conventional,request,1,No,1,51
112,887,110,0b34ozgzqe,conventional,yes,1,Non-Request,11,window,S3,conventional,literal,1,Yes,0,52
113,365,112,0b34ozgzqe,conventional,yes,1,Non-Request,10,spanish,S3,conventional,literal,1,No,0,53
114,337,114,0b34ozgzqe,conventional,yes,1,Non-Request,12,temperature,S3,conventional,literal,1,Yes,0,54
115,5285,116,0b34ozgzqe,conventional,yes,1,Request,8,piano,S3,conventional,literal,0,No,0,55
116,248,118,0b34ozgzqe,conventional,yes,1,Non-Request,3,box,S3,conventional,literal,1,No,0,56
117,1550,120,0b34ozgzqe,conventional,yes,0,Request,10,spanish,S3,conventional,request,1,Yes,1,57
118,674,122,0b34ozgzqe,conventional,yes,1,Non-Request,4,door,S3,conventional,literal,1,Yes,0,58
119,2747,124,0b34ozgzqe,conventional,yes,1,Non-Request,8,piano,S3,conventional,literal,1,Yes,0,59
120,726,126,0b34ozgzqe,conventional,yes,0,Request,3,box,S3,conventional,request,1,Yes,1,60
121,914,8,0kqub3d84k,conventional,yes,0,Request,11,window,S3,conventional,request,1,No,1,1
122,1726,10,0kqub3d84k,conventional,yes,0,Request,12,temperature,S3,conventional,request,1,No,1,2
123,3514,12,0kqub3d84k,conventional,yes,0,Request,4,door,S3,conventional,request,1,No,1,3
124,1783,14,0kqub3d84k,conventional,yes,1,Non-Request,3,box,S3,conventional,literal,1,No,0,4
125,832,16,0kqub3d84k,conventional,yes,0,Request,8,piano,S3,conventional,request,1,No,1,5
126,692,18,0kqub3d84k,conventional,yes,1,Non-Request,12,temperature,S3,conventional,literal,1,Yes,0,6
127,448,20,0kqub3d84k,conventional,yes,1,Non-Request,4,door,S3,conventional,literal,1,Yes,0,7
128,371,22,0kqub3d84k,conventional,yes,1,Non-Request,11,window,S3,conventional,literal,1,Yes,0,8
129,413,24,0kqub3d84k,conventional,yes,0,Request,10,spanish,S3,conventional,request,1,No,1,9
130,704,26,0kqub3d84k,conventional,yes,0,Request,3,box,S3,conventional,request,1,Yes,1,10
131,586,28,0kqub3d84k,conventional,yes,1,Non-Request,10,spanish,S3,conventional,literal,1,Yes,0,11
132,417,30,0kqub3d84k,conventional,yes,1,Non-Request,8,piano,S3,conventional,literal,1,Yes,0,12
133,704,32,0kqub3d84k,conventional,yes,0,Non-Request,12,temperature,S4,conventional,request,0,No,1,13
134,13913,34,0kqub3d84k,conventional,yes,0,Request,10,spanish,S4,conventional,request,1,No,1,14
135,1053,36,0kqub3d84k,conventional,yes,1,Non-Request,3,box,S4,conventional,literal,1,No,0,15
136,800,38,0kqub3d84k,conventional,yes,1,Non-Request,8,piano,S4,conventional,literal,1,No,0,16
137,544,40,0kqub3d84k,conventional,yes,0,Request,3,box,S4,conventional,request,1,Yes,1,17
138,305,42,0kqub3d84k,conventional,yes,0,Non-Request,11,window,S4,conventional,request,0,No,1,18
139,1127,44,0kqub3d84k,conventional,yes,0,Non-Request,4,door,S4,conventional,request,0,No,1,19
140,316,46,0kqub3d84k,conventional,yes,0,Request,11,window,S4,conventional,request,1,Yes,1,20
141,359,48,0kqub3d84k,conventional,yes,0,Request,4,door,S4,conventional,request,1,Yes,1,21
142,571,50,0kqub3d84k,conventional,yes,0,Request,8,piano,S4,conventional,request,1,Yes,1,22
143,452,52,0kqub3d84k,conventional,yes,1,Non-Request,10,spanish,S4,conventional,literal,1,Yes,0,23
144,575,54,0kqub3d84k,conventional,yes,0,Request,12,temperature,S4,conventional,request,1,Yes,1,24
145,363,56,0kqub3d84k,conventional,yes,0,Non-Request,11,window,S5,conventional,request,0,No,1,25
146,397,58,0kqub3d84k,conventional,yes,0,Non-Request,10,spanish,S5,conventional,request,0,No,1,26
147,2892,60,0kqub3d84k,conventional,yes,0,Request,8,piano,S5,conventional,request,1,No,1,27
148,348,62,0kqub3d84k,conventional,yes,0,Non-Request,12,temperature,S5,conventional,request,0,No,1,28
149,172,64,0kqub3d84k,conventional,yes,0,Request,3,box,S5,conventional,request,1,No,1,29
150,279,66,0kqub3d84k,conventional,yes,0,Request,12,temperature,S5,conventional,request,1,Yes,1,30
151,356,68,0kqub3d84k,conventional,yes,0,Non-Request,4,door,S5,conventional,request,0,No,1,31
152,560,70,0kqub3d84k,conventional,yes,0,Request,11,window,S5,conventional,request,1,Yes,1,32
153,1093,72,0kqub3d84k,conventional,yes,0,Non-Request,3,box,S5,conventional,request,0,Yes,1,33
154,546,74,0kqub3d84k,conventional,yes,0,Non-Request,8,piano,S5,conventional,request,0,Yes,1,34
155,4501,76,0kqub3d84k,conventional,yes,0,Request,10,spanish,S5,conventional,request,1,Yes,1,35
156,331,78,0kqub3d84k,conventional,yes,0,Request,4,door,S5,conventional,request,1,Yes,1,36
157,353,80,0kqub3d84k,conventional,yes,0,Non-Request,12,temperature,S1,conventional,request,0,No,1,37
158,1199,82,0kqub3d84k,conventional,yes,1,Request,8,piano,S1,conventional,literal,0,No,0,38
159,673,84,0kqub3d84k,conventional,yes,1,Non-Request,8,piano,S1,conventional,literal,1,Yes,0,39
160,410,86,0kqub3d84k,conventional,yes,0,Request,11,window,S1,conventional,request,1,No,1,40
161,778,88,0kqub3d84k,conventional,yes,1,Non-Request,3,box,S1,conventional,literal,1,No,0,41
162,377,90,0kqub3d84k,conventional,yes,0,Request,3,box,S1,conventional,request,1,Yes,1,42
163,19356,92,0kqub3d84k,conventional,yes,0,Non-Request,10,spanish,S1,conventional,request,0,No,1,43
164,614,94,0kqub3d84k,conventional,yes,1,Non-Request,11,window,S1,conventional,literal,1,Yes,0,44
165,419,96,0kqub3d84k,conventional,yes,1,Non-Request,4,door,S1,conventional,literal,1,No,0,45
166,1189,98,0kqub3d84k,conventional,yes,0,Request,10,spanish,S1,conventional,request,1,Yes,1,46
167,329,100,0kqub3d84k,conventional,yes,0,Request,4,door,S1,conventional,request,1,Yes,1,47
168,360,102,0kqub3d84k,conventional,yes,0,Request,12,temperature,S1,conventional,request,1,Yes,1,48
169,589,104,0kqub3d84k,conventional,yes,0,Non-Request,12,temperature,S2,conventional,request,0,No,1,49
170,353,106,0kqub3d84k,conventional,yes,0,Request,10,spanish,S2,conventional,request,1,No,1,50
171,365,108,0kqub3d84k,conventional,yes,0,Non-Request,8,piano,S2,conventional,request,0,No,1,51
172,342,110,0kqub3d84k,conventional,yes,0,Non-Request,4,door,S2,conventional,request,0,No,1,52
