,rt,trial_type,trial_index,time_elapsed,internal_node_id,subject,group,passed_test,stimulus,type,button_pressed,answer,stimNum,topic,speaker,form,response,correct,Gender,Native_Speaker,Music_Ability,Age,Mobile
12,6153,audio-button-response,12,160568,0.0-7.0-5.0,13725,group1,yes,prosody_paired_samples/KatieS/IR_Literal_Spanish.wav,,0,first,10,spanish,Katie,modal,first,1,Male,Yes,4,31,No
13,11059,audio-button-response,13,171628,0.0-7.0-6.0,13725,group1,yes,prosody_paired_samples/KatieS/Literal_IR_soup.wav,,1,second,9,soup,Katie,indirect,second,1,Male,Yes,4,31,No
14,9527,audio-button-response,14,181159,0.0-7.0-7.0,13725,group1,yes,prosody_paired_samples/KatieS/IR_Literal_back.wav,,0,first,2,back,Katie,indirect,first,1,Male,Yes,4,31,No
15,9100,audio-button-response,15,190262,0.0-7.0-8.0,13725,group1,yes,prosody_paired_samples/KatieS/Literal_IR_phone.wav,,0,second,7,phone,Katie,indirect,first,0,Male,Yes,4,31,No
16,7726,audio-button-response,16,197990,0.0-7.0-9.0,13725,group1,yes,prosody_paired_samples/KatieS/Literal_IR_office.wav,,1,second,6,office,Katie,indirect,second,1,Male,Yes,4,31,No
17,6897,audio-button-response,17,204890,0.0-7.0-10.0,13725,group1,yes,prosody_paired_samples/KatieS/Literal_IR_car.wav,,1,second,1,car,Katie,indirect,second,1,Male,Yes,4,31,No
18,6024,audio-button-response,18,210917,0.0-7.0-11.0,13725,group1,yes,prosody_paired_samples/KatieS/IR_Literal_piano.wav,,0,first,8,piano,Katie,modal,first,1,Male,Yes,4,31,No
19,7152,audio-button-response,19,218069,0.0-8.0-0.0,13725,group1,yes,prosody_paired_samples/MaiyiY/literal_IR_piano.wav,,1,second,8,piano,Maiyi,modal,second,1,Male,Yes,4,31,No
20,8353,audio-button-response,20,226424,0.0-8.0-1.0,13725,group1,yes,prosody_paired_samples/MaiyiY/IR_literal_temp.wav,,0,first,12,temperature,Maiyi,modal,first,1,Male,Yes,4,31,No
21,8489,audio-button-response,21,234921,0.0-8.0-2.0,13725,group1,yes,prosody_paired_samples/MaiyiY/literal_IR_car.wav,,1,second,1,car,Maiyi,indirect,second,1,Male,Yes,4,31,No
22,8862,audio-button-response,22,243799,0.0-8.0-3.0,13725,group1,yes,prosody_paired_samples/MaiyiY/literal_IR_laptop.wav,,0,second,5,laptop,Maiyi,indirect,first,0,Male,Yes,4,31,No
23,8118,audio-button-response,23,251934,0.0-8.0-4.0,13725,group1,yes,prosody_paired_samples/MaiyiY/literal_IR_window.wav,,1,second,11,window,Maiyi,modal,second,1,Male,Yes,4,31,No
24,6255,audio-button-response,24,258190,0.0-8.0-5.0,13725,group1,yes,prosody_paired_samples/MaiyiY/IR_literal_door.wav,,0,first,4,door,Maiyi,modal,first,1,Male,Yes,4,31,No
25,6237,audio-button-response,25,264429,0.0-8.0-6.0,13725,group1,yes,prosody_paired_samples/MaiyiY/literal_IR_office.wav,,0,second,6,office,Maiyi,indirect,first,0,Male,Yes,4,31,No
